graphNodes,density,expNo,delta,compressionRatio,executionTime,,,,,,,,,
32,80,1,0.5,1,0.076243,,,,,,,,,
32,80,1,0.6,1.061118,0.610726,,,,,,,,,
32,80,1,0.7,1.147679,0.936126,,,,,,,,,
32,80,1,0.8,1.249617,1.057493,,,,,,,,,
32,80,1,0.9,1.350993,1.178792,,,,,,,,,
32,80,1,1,1.409326,1.235297,,,,,,,,,
32,80,2,0.5,1,0.065172,,,,,,,,,
32,80,2,0.6,1.066841,0.695324,,,,,,,,,
32,80,2,0.7,1.15625,0.902543,,,,,,,,,`
32,80,2,0.8,1.242748,1.058807,,,,,,,,,
32,80,2,0.9,1.356667,1.182509,,,,,,,,,
32,80,2,1,1.423077,1.222022,,,,,,,,,
32,80,3,0.5,1,0.060634,,,,,,,,,
32,80,3,0.6,1.059211,0.700885,,,,,,,,,
32,80,3,0.7,1.151645,0.897343,,,,,,,,,
32,80,3,0.8,1.210526,1.053236,,,,,,,,,
32,80,3,0.9,1.355219,1.175765,,,,,,,,,
32,80,3,1,1.412281,1.177759,,,,,,,,,
32,80,4,0.5,1,0.077897,,,,,,,,,
32,80,4,0.6,1.059663,0.70887,,,,,,,,,
32,80,4,0.7,1.153955,0.908675,,,,,,,,,
32,80,4,0.8,1.243531,1.085196,,,,,,,,,
32,80,4,0.9,1.359401,1.184943,,,,,,,,,
32,80,4,1,1.433333,1.213066,,,,,,,,,
32,80,5,0.5,1,0.065633,,,,,,,,,
32,80,5,0.6,1.06274,0.681268,,,,,,,,,
32,80,5,0.7,1.157601,0.919335,,,,,,,,,
32,80,5,0.8,1.251885,1.066491,,,,,,,,,
32,80,5,0.9,1.369637,1.200221,,,,,,,,,
32,80,5,1,1.435986,1.204199,,,,,,,,,
32,80,6,0.5,1,0.067587,,,,,,,,,
32,80,6,0.6,1.087696,0.761138,,,,,,,,,
32,80,6,0.7,1.152566,0.909175,,,,,,,,,
32,80,6,0.8,1.23477,1.095685,,,,,,,,,
32,80,6,0.9,1.342488,1.196184,,,,,,,,,
32,80,6,1,1.435233,1.222594,,,,,,,,,
32,80,7,0.5,1,0.059151,,,,,,,,,
32,80,7,0.6,1.06291,0.697018,,,,,,,,,
32,80,7,0.7,1.151989,0.893447,,,,,,,,,
32,80,7,0.8,1.217718,1.011788,,,,,,,,,
32,80,7,0.9,1.325163,1.10915,,,,,,,,,
32,80,7,1,1.430335,1.200392,,,,,,,,,
32,80,8,0.5,1,0.062287,,,,,,,,,
32,80,8,0.6,1.085714,0.803928,,,,,,,,,
32,80,8,0.7,1.149931,0.917261,,,,,,,,,
32,80,8,0.8,1.251497,1.066772,,,,,,,,,
32,80,8,0.9,1.361564,1.169534,,,,,,,,,
32,80,8,1,1.464098,1.538657,,,,,,,,,
32,80,9,0.5,1,0.053951,,,,,,,,,
32,80,9,0.6,1.098425,0.611758,,,,,,,,,
32,80,9,0.7,1.1625,0.949251,,,,,,,,,
32,80,9,0.8,1.258647,1.079255,,,,,,,,,
32,80,9,0.9,1.345659,1.146911,,,,,,,,,
32,80,9,1,1.44062,1.233524,,,,,,,,,
32,80,10,0.5,1,0.063509,,,,,,,,,
32,80,10,0.6,1.05799,0.691156,,,,,,,,,
32,80,10,0.7,1.148252,0.919013,,,,,,,,,
32,80,10,0.8,1.251524,1.09233,,,,,,,,,
32,80,10,0.9,1.359272,1.173471,,,,,,,,,
32,80,10,1,1.43281,1.222483,,,,,,,,,
32,85,1,0.5,1,0.066415,,,,,,,,,
32,85,1,0.6,1.089172,0.752061,,,,,,,,,
32,85,1,0.7,1.155405,0.935454,,,,,,,,,
32,85,1,0.8,1.257353,1.079085,,,,,,,,,
32,85,1,0.9,1.374598,1.190804,,,,,,,,,
32,85,1,1,1.497373,1.252058,,,,,,,,,
32,85,2,0.5,1.030916,0.630593,,,,,,,,,
32,85,2,0.6,1.09194,0.787718,,,,,,,,,
32,85,2,0.7,1.160643,0.916539,,,,,,,,,
32,85,2,0.8,1.267544,1.099092,,,,,,,,,
32,85,2,0.9,1.354687,1.157441,,,,,,,,,
32,85,2,1,1.494828,1.235007,,,,,,,,,
32,85,3,0.5,1,0.076714,,,,,,,,,
32,85,3,0.6,1.094028,0.786465,,,,,,,,,
32,85,3,0.7,1.163514,0.917872,,,,,,,,,
32,85,3,0.8,1.268041,1.075767,,,,,,,,,
32,85,3,0.9,1.362342,1.156159,,,,,,,,,
32,85,3,1,1.492201,1.218526,,,,,,,,,
32,85,4,0.5,1.032105,0.593353,,,,,,,,,
32,85,4,0.6,1.09596,0.780434,,,,,,,,,
32,85,4,0.7,1.166667,0.931437,,,,,,,,,
32,85,4,0.8,1.285926,1.08206,,,,,,,,,
32,85,4,0.9,1.360502,1.167881,,,,,,,,,
32,85,4,1,1.496552,1.223485,,,,,,,,,
32,85,5,0.5,1.029481,0.592892,,,,,,,,,
32,85,5,0.6,1.088529,0.783439,,,,,,,,,
32,85,5,0.7,1.194254,1.006278,,,,,,,,,
32,85,5,0.8,1.267054,1.096166,,,,,,,,,
32,85,5,0.9,1.376972,1.166598,,,,,,,,,
32,85,5,1,1.5,1.238113,,,,,,,,,
32,85,6,0.5,1.03169,0.636514,,,,,,,,,
32,85,6,0.6,1.093284,0.776977,,,,,,,,,
32,85,6,0.7,1.192673,1.003984,,,,,,,,,
32,85,6,0.8,1.262931,1.103129,,,,,,,,,
32,85,6,0.9,1.384252,1.194311,,,,,,,,,
32,85,6,1,1.502564,1.248612,,,,,,,,,
32,85,7,0.5,1,0.060274,,,,,,,,,
32,85,7,0.6,1.098592,0.777338,,,,,,,,,
32,85,7,0.7,1.165761,0.914686,,,,,,,,,
32,85,7,0.8,1.272997,1.079044,,,,,,,,,
32,85,7,0.9,1.357595,1.15691,,,,,,,,,
32,85,7,1,1.484429,1.229306,,,,,,,,,
32,85,8,0.5,1.030697,0.605867,,,,,,,,,
32,85,8,0.6,1.095358,0.772008,,,,,,,,,
32,85,8,0.7,1.164,0.919455,,,,,,,,,
32,85,8,0.8,1.278185,1.088833,,,,,,,,,
32,85,8,0.9,1.368339,1.157031,,,,,,,,,
32,85,8,1,1.492308,1.239906,,,,,,,,,
32,85,9,0.5,1.032634,0.606147,,,,,,,,,
32,85,9,0.6,1.099256,0.797426,,,,,,,,,
32,85,9,0.7,1.171958,0.942307,,,,,,,,,
32,85,9,0.8,1.276657,1.093872,,,,,,,,,
32,85,9,0.9,1.40412,1.19396,,,,,,,,,
32,85,9,1,1.511945,1.227493,,,,,,,,,
32,85,10,0.5,1.030952,0.611056,,,,,,,,,
32,85,10,0.6,1.09068,0.789652,,,,,,,,,
32,85,10,0.7,1.162416,0.928491,,,,,,,,,
32,85,10,0.8,1.264234,1.101667,,,,,,,,,
32,85,10,0.9,1.394525,1.206714,,,,,,,,,
32,85,10,1,1.477816,1.236149,,,,,,,,,
32,90,1,0.5,1.063584,0.729508,,,,,,,,,
32,90,1,0.6,1.133005,0.869652,,,,,,,,,
32,90,1,0.7,1.210526,0.996769,,,,,,,,,
32,90,1,0.8,1.339156,1.176477,,,,,,,,,
32,90,1,0.9,1.446541,1.232773,,,,,,,,,
32,90,1,1,1.567291,1.257099,,,,,,,,,
32,90,2,0.5,1.031638,0.603572,,,,,,,,,
32,90,2,0.6,1.128554,0.87373,,,,,,,,,
32,90,2,0.7,1.243869,1.073684,,,,,,,,,
32,90,2,0.8,1.321274,1.142193,,,,,,,,,
32,90,2,0.9,1.415504,1.222694,,,,,,,,,
32,90,2,1,1.568729,1.295099,,,,,,,,,
32,90,3,0.5,1.062284,0.731954,,,,,,,,,
32,90,3,0.6,1.130061,0.889098,,,,,,,,,
32,90,3,0.7,1.239569,1.058686,,,,,,,,,
32,90,3,0.8,1.319484,1.143695,,,,,,,,,
32,90,3,0.9,1.416923,1.22622,,,,,,,,,
32,90,3,1,1.561017,1.313033,,,,,,,,,
32,90,4,0.5,1.030857,0.607329,,,,,,,,,
32,90,4,0.6,1.131744,0.880231,,,,,,,,,
32,90,4,0.7,1.207497,1.035813,,,,,,,,,
32,90,4,0.8,1.334319,1.12497,,,,,,,,,
32,90,4,0.9,1.422713,1.209238,,,,,,,,,
32,90,4,1,1.563258,1.261306,,,,,,,,,
32,90,5,0.5,1.030303,0.611718,,,,,,,,,
32,90,5,0.6,1.137546,0.879951,,,,,,,,,
32,90,5,0.7,1.214286,0.986009,,,,,,,,,
32,90,5,0.8,1.336245,1.138125,,,,,,,,,
32,90,5,0.9,1.443396,1.225279,,,,,,,,,
32,90,5,1,1.5533,1.272587,,,,,,,,,
32,90,6,0.5,1.031567,0.598323,,,,,,,,,
32,90,6,0.6,1.131026,0.862068,,,,,,,,,
32,90,6,0.7,1.24152,1.073544,,,,,,,,,
32,90,6,0.8,1.335766,1.154155,,,,,,,,,
32,90,6,0.9,1.427457,1.213967,,,,,,,,,
32,90,6,1,1.583045,1.312262,,,,,,,,,
32,90,7,0.5,1.063364,0.702858,,,,,,,,,
32,90,7,0.6,1.132515,0.880312,,,,,,,,,
32,90,7,0.7,1.247297,1.066421,,,,,,,,,
32,90,7,0.8,1.333815,1.168111,,,,,,,,,
32,90,7,0.9,1.426584,1.234897,,,,,,,,,
32,90,7,1,1.585911,1.284029,,,,,,,,,
32,90,8,0.5,1.063854,0.713087,,,,,,,,,
32,90,8,0.6,1.132282,0.879661,,,,,,,,,
32,90,8,0.7,1.248996,1.074927,,,,,,,,,
32,90,8,0.8,1.336676,1.15154,,,,,,,,,
32,90,8,0.9,1.435385,1.250465,,,,,,,,,
32,90,8,1,1.603093,1.294779,,,,,,,,,
32,90,9,0.5,1.063584,0.711725,,,,,,,,,
32,90,9,0.6,1.134402,0.882635,,,,,,,,,
32,90,9,0.7,1.208936,0.988634,,,,,,,,,
32,90,9,0.8,1.333333,1.14107,,,,,,,,,
32,90,9,0.9,1.435257,1.228685,,,,,,,,,
32,90,9,1,1.586207,1.283178,,,,,,,,,
32,90,10,0.5,1.063564,0.703049,,,,,,,,,
32,90,10,0.6,1.131642,0.898976,,,,,,,,,
32,90,10,0.7,1.251001,1.08744,,,,,,,,,
32,90,10,0.8,1.334758,1.15703,,,,,,,,,
32,90,10,0.9,1.437117,1.245877,,,,,,,,,
32,90,10,1,1.601709,1.330946,,,,,,,,,
32,95,1,0.5,1.064481,0.731933,,,,,,,,,
32,95,1,0.6,1.137851,0.894809,,,,,,,,,
32,95,1,0.7,1.261658,1.091708,,,,,,,,,
32,95,1,0.8,1.358438,1.195533,,,,,,,,,
32,95,1,0.9,1.538705,1.307142,,,,,,,,,
32,95,1,1,1.601974,1.307924,,,,,,,,,
32,95,2,0.5,1.062914,0.72483,,,,,,,,,
32,95,2,0.6,1.13161,0.899587,,,,,,,,,
32,95,2,0.7,1.255541,1.080036,,,,,,,,,
32,95,2,0.8,1.343096,1.180224,,,,,,,,,
32,95,2,0.9,1.516535,1.318794,,,,,,,,,
32,95,2,1,1.578689,1.28998,,,,,,,,,
32,95,3,0.5,1.0642,0.733045,,,,,,,,,
32,95,3,0.6,1.17407,1.000868,,,,,,,,,
32,95,3,0.7,1.263566,1.096376,,,,,,,,,
32,95,3,0.8,1.352697,1.212515,,,,,,,,,
32,95,3,0.9,1.535322,1.296602,,,,,,,,,
32,95,3,1,1.605911,1.308023,,,,,,,,,
32,95,4,0.5,1.065431,0.726062,,,,,,,,,
32,95,4,0.6,1.172869,0.98082,,,,,,,,,
32,95,4,0.7,1.262274,1.111876,,,,,,,,,
32,95,4,0.8,1.358832,1.19395,,,,,,,,,
32,95,4,0.9,1.538583,1.302483,,,,,,,,,
32,95,4,1,1.609555,1.304998,,,,,,,,,
32,95,5,0.5,1.064978,0.750578,,,,,,,,,
32,95,5,0.6,1.133646,0.904968,,,,,,,,,
32,95,5,0.7,1.255844,1.094484,,,,,,,,,
32,95,5,0.8,1.350559,1.196044,,,,,,,,,
32,95,5,0.9,1.530063,1.288507,,,,,,,,,
32,95,5,1,1.59571,1.288076,,,,,,,,,
32,95,6,0.5,1.062222,0.724319,,,,,,,,,
32,95,6,0.6,1.134045,0.883297,,,,,,,,,
32,95,6,0.7,1.251309,1.078403,,,,,,,,,
32,95,6,0.8,1.337063,1.189542,,,,,,,,,
32,95,6,0.9,1.496088,1.289689,,,,,,,,,
