graphNodes,density,expNo,delta,compressionRatio,executionTime,readTime,writeTime,mergeTime,cores
2048, 80, 1, 0.5, 1.916237, 0.7190, 0.4704, 0.1757, 0.0757, 4
2048, 80, 1, 0.5, 1.916605, 4.5179, 0.1618, 0.3272, 4.1883, 8
2048, 80, 1, 0.5, 1.916398, 2.4459, 0.1228, 0.3661, 2.1559, 12
2048, 80, 1, 0.5, 1.916544, 4.5061, 0.1370, 0.4609, 0.1051, 16
2048, 80, 1, 0.5, 1.916252, 4.5023, 0.0958, 0.4478, 2.1344, 20
2048, 80, 1, 0.5, 1.916763, 3.4839, 0.1140, 0.4380, 3.1736, 24
2048, 80, 1, 0.5, 1.917677, 4.5517, 0.1081, 0.4222, 4.2157, 28
2048, 80, 1, 0.5, 1.916621, 2.5519, 0.1096, 0.4828, 2.1878, 32
2048, 80, 1, 0.5, 1.917013, 3.4399, 0.0930, 0.6510, 2.2202, 36
2048, 80, 1, 0.6, 2.052668, 0.5172, 0.2833, 0.1888, 0.0678, 4
2048, 80, 1, 0.6, 2.052800, 0.4085, 0.1718, 0.3076, 0.0857, 8
2048, 80, 1, 0.6, 2.052593, 2.4197, 0.1209, 0.3813, 1.0928, 12
2048, 80, 1, 0.6, 2.052878, 2.4548, 0.1349, 0.4945, 0.0975, 16
2048, 80, 1, 0.6, 2.053239, 2.4817, 0.0995, 0.4216, 0.1463, 20
2048, 80, 1, 0.6, 2.052797, 2.5330, 0.1200, 0.5195, 2.1855, 24
2048, 80, 1, 0.6, 2.053702, 2.6247, 0.1415, 0.5459, 2.2946, 28
2048, 80, 1, 0.6, 2.053998, 2.5337, 0.1178, 0.4651, 2.1687, 32
2048, 80, 1, 0.6, 2.053609, 2.8066, 0.1380, 0.6066, 2.1935, 36
2048, 80, 1, 0.7, 2.354058, 0.4996, 0.2639, 0.2058, 0.0638, 4
2048, 80, 1, 0.7, 2.353263, 0.4154, 0.1550, 0.2793, 0.0775, 8
2048, 80, 1, 0.7, 2.354204, 1.4731, 0.1225, 0.3722, 1.1121, 12
2048, 80, 1, 0.7, 2.353898, 2.4877, 0.1213, 0.4444, 1.0943, 16
2048, 80, 1, 0.7, 2.354336, 4.5198, 0.1114, 0.4361, 2.1234, 20
2048, 80, 1, 0.7, 2.354103, 2.5521, 0.1122, 0.4872, 0.1055, 24
2048, 80, 1, 0.7, 2.353216, 2.5437, 0.1507, 0.4692, 2.1738, 28
2048, 80, 1, 0.7, 2.354280, 2.5501, 0.1783, 0.4967, 2.1540, 32
2048, 80, 1, 0.7, 2.353393, 2.6347, 0.1626, 0.4520, 2.2045, 36
2048, 80, 1, 0.8, 2.611771, 0.5262, 0.2652, 0.1881, 0.0623, 4
