graphNodes,density,expNo,delta,compressionRatio,executionTime,readTime,writeTime,mergeTime,cores
2048,80,1,0.5,1.914313,0.2043,0.0938,0.2383,0.0349,8
2048,80,1,0.5,1.914313,0.1228,0.0589,0.2463,0.0235,16
2048,80,1,0.5,1.915585,0.1242,0.0559,0.2581,0.0249,24
2048,80,1,0.5,1.914317,0.1239,0.0548,0.2639,0.027,32
2048,80,1,0.5,1.914317,0.1253,0.0576,0.2708,0.0249,40
2048,80,1,0.5,1.91583,0.1184,0.0434,0.2756,0.025,48
2048,80,1,0.5,1.916576,0.1362,0.0567,0.2911,0.0267,56
2048,80,1,0.5,1.915155,0.1411,0.0573,0.3113,0.0269,64
2048,80,1,0.5,1.915106,0.1419,0.0457,0.3075,0.0304,72
2048,80,1,0.5,1.915777,0.1578,0.0505,0.3471,0.0404,80
2048,80,1,0.5,1.916652,0.1506,0.0439,0.3529,0.0315,88
2048,80,1,0.5,1.915002,0.1861,0.048,0.4626,0.0342,96
2048,80,1,0.5,1.915951,0.5659,0.0483,1.9801,0.0399,104
2048,80,1,0.5,1.915931,0.2351,0.0454,0.5519,0.0383,112
2048,80,1,0.5,1.915632,0.7577,0.0512,3.1798,0.038,120
2048,80,1,0.5,1.915201,0.4974,0.0724,0.7745,0.0413,128
2048,80,1,0.6,2.051284,0.1819,0.0937,0.2221,0.0335,8
2048,80,1,0.6,2.051115,0.1627,0.0582,0.268,0.0229,16
2048,80,1,0.6,2.051115,0.1966,0.0596,0.3055,0.0245,24
2048,80,1,0.6,2.051525,0.161,0.0524,0.2881,0.0246,32
2048,80,1,0.6,2.051519,0.1197,0.051,0.257,0.0244,40
2048,80,1,0.6,2.052229,0.1191,0.047,0.2658,0.0253,48
2048,80,1,0.6,2.052156,0.1259,0.047,0.279,0.0266,56
2048,80,1,0.6,2.052092,0.1276,0.0459,0.2809,0.0259,64
2048,80,1,0.6,2.053416,0.137,0.0437,0.2929,0.0281,72
2048,80,1,0.6,2.051814,0.1487,0.0501,0.3427,0.0304,80
2048,80,1,0.6,2.05177,0.1651,0.0494,0.3426,0.0326,88
2048,80,1,0.6,2.052285,0.159,0.0489,0.3594,0.0321,96
2048,80,1,0.6,2.051457,0.1902,0.0677,0.4173,0.0355,104
2048,80,1,0.6,2.052149,0.207,0.0703,0.4982,0.0359,112
2048,80,1,0.6,2.052183,0.2167,0.0562,0.5468,0.0382,120
2048,80,1,0.6,2.052876,0.395,0.0573,0.5716,0.0467,128
2048,80,1,0.7,2.353166,0.1951,0.0929,0.1973,0.0205,8
2048,80,1,0.7,2.353166,0.1299,0.0578,0.2039,0.0209,16
2048,80,1,0.7,2.352576,0.13,0.0555,0.2123,0.0224,24
2048,80,1,0.7,2.354092,0.1362,0.0502,0.2186,0.0214,32
2048,80,1,0.7,2.353715,0.1302,0.0507,0.232,0.0236,40
2048,80,1,0.7,2.352456,0.2006,0.1164,0.2385,0.0243,48
2048,80,1,0.7,2.353919,0.1397,0.0492,0.2599,0.0243,56
2048,80,1,0.7,2.352776,0.1453,0.0488,0.2528,0.0253,64
2048,80,1,0.7,2.352877,0.1494,0.0492,0.2648,0.0269,72
2048,80,1,0.7,2.353255,0.1662,0.055,0.2896,0.0289,80
2048,80,1,0.7,2.353798,0.166,0.0435,0.3055,0.0295,88
2048,80,1,0.7,2.352471,0.1782,0.0553,0.3392,0.0311,96
2048,80,1,0.7,2.351737,0.1821,0.0459,0.4151,0.0332,104
2048,80,1,0.7,2.354062,0.213,0.0455,0.4613,0.0342,112
