graphNodes, delta, compressionRatio, ExecutionTime, processors
32, 1.000000, 1.619329, 0.0011, 10
32, 0.500000, 1.000000, 0.0013, 10
1024, 1.000000, 2.752824, 2.8948, 48
1024, 1.000000, 2.755391, 1.1259, 24
1024, 0.800000, 2.374601, 0.8752, 24
1024, 0.800000, 2.374964, 0.7167, 48
8192, 1.000000, 3.737389, 11.8151, 48
8192, 1.000000, 3.737248, 8.0449, 24
8192, 0.800000, 3.108028, 24.5044, 48
8192, 0.800000, 3.108196, 5.5079, 24
16384, 1.000000, 4.098158, 49.8055, 48
16384, 0.800000, 3.383834, 25.4395, 48
