graphNodes,density,expNo,delta,compressionRatio,executionTime,readTime,writeTime
2048,80,1, 0.50, 1.915630, 3.232283, 2.928725, 0.093666
2048,80,1, 0.60, 2.052527, 0.926161, 0.540936, 0.177608
2048,80,1, 0.70, 2.352459, 1.901788, 0.525634, 1.127939
2048,80,1, 0.80, 2.612928, 0.972168, 0.522444, 0.116406
2048,80,1, 0.90, 2.889457, 1.134402, 0.530642, 0.116730
2048,80,1, 1.00, 3.086873, 1.367315, 0.522536, 0.118477
2048,80,1, 0.50, 1.915325, 0.881945, 0.530201, 0.140067
2048,80,1, 0.60, 2.052164, 0.848652, 0.531366, 0.110605
2048,80,1, 0.70, 2.353466, 0.901691, 0.531083, 0.116885
2048,80,1, 0.80, 2.613048, 0.964355, 0.515749, 0.115718
2048,80,1, 0.90, 2.889992, 1.147407, 0.533455, 0.118448
2048,80,1, 1.00, 3.087172, 1.364459, 0.517031, 0.119387
2048,80,1, 0.50, 1.915153, 0.831524, 0.523878, 0.096320
2048,80,1, 0.60, 2.051566, 0.860616, 0.545288, 0.109908
2048,80,1, 0.70, 2.354512, 0.921927, 0.551459, 0.117707
2048,80,1, 0.80, 2.612704, 0.982338, 0.526207, 0.116351
2048,80,1, 0.90, 2.889069, 1.142304, 0.530546, 0.117982
2048,80,1, 1.00, 3.086129, 1.416252, 0.533394, 0.149666
2048,80,1, 0.50, 1.915469, 0.938161, 0.515572, 0.202995
2048,80,1, 0.60, 2.052461, 0.848235, 0.529537, 0.110522
2048,80,1, 0.70, 2.353217, 0.903530, 0.536303, 0.116757
2048,80,1, 0.80, 2.613545, 0.977885, 0.524699, 0.117009
2048,80,1, 0.90, 2.889526, 1.118760, 0.511576, 0.116924
2048,80,1, 1.00, 3.085329, 1.448132, 0.533112, 0.124895
2048,80,1, 0.50, 1.915679, 0.893395, 0.531528, 0.151930
2048,80,1, 0.60, 2.051455, 0.845655, 0.525852, 0.110948
2048,80,1, 0.70, 2.354505, 0.901350, 0.531913, 0.116375
2048,80,1, 0.80, 2.613093, 0.994923, 0.523532, 0.135916
2048,80,1, 0.90, 2.888690, 1.147775, 0.536832, 0.117720
2048,80,1, 1.00, 3.087595, 1.383503, 0.536442, 0.119264
2048,85,1, 0.50, 2.095647, 3.623295, 3.328274, 0.097031
2048,85,1, 0.60, 2.209104, 0.867436, 0.556781, 0.106780
2048,85,1, 0.70, 2.521650, 0.927700, 0.567037, 0.113599
2048,85,1, 0.80, 2.777900, 1.030274, 0.580161, 0.116436
2048,85,1, 0.90, 3.056867, 1.202539, 0.573703, 0.120244
2048,85,1, 1.00, 3.233067, 1.389652, 0.556765, 0.120879
2048,85,1, 0.50, 2.095677, 0.879740, 0.564455, 0.098363
2048,85,1, 0.60, 2.205911, 0.872474, 0.557661, 0.107167
2048,85,1, 0.70, 2.518842, 0.944096, 0.572157, 0.119180
2048,85,1, 0.80, 2.778448, 1.018943, 0.568527, 0.116382
2048,85,1, 0.90, 3.054649, 1.186333, 0.572536, 0.118758
2048,85,1, 1.00, 3.232695, 1.406029, 0.569427, 0.122398
2048,85,1, 0.50, 2.096084, 0.889215, 0.557130, 0.135720
2048,85,1, 0.60, 2.208610, 0.882606, 0.566734, 0.107339
2048,85,1, 0.70, 2.521078, 0.911131, 0.551316, 0.114260
2048,85,1, 0.80, 2.778054, 1.007113, 0.562065, 0.114731
2048,85,1, 0.90, 3.057095, 1.184242, 0.574658, 0.118717
2048,85,1, 1.00, 3.232668, 1.415438, 0.554386, 0.149139
2048,85,1, 0.50, 2.096216, 0.846430, 0.550827, 0.097683
2048,85,1, 0.60, 2.207919, 0.860305, 0.552333, 0.105443
2048,85,1, 0.70, 2.520299, 0.930500, 0.565022, 0.115227
2048,85,1, 0.80, 2.777176, 1.008220, 0.559080, 0.115527
2048,85,1, 0.90, 3.057216, 1.170934, 0.557510, 0.120581
2048,85,1, 1.00, 3.231953, 1.495778, 0.565970, 0.218589
2048,85,1, 0.50, 2.095281, 0.907755, 0.555794, 0.154453
2048,85,1, 0.60, 2.209221, 0.877728, 0.561484, 0.108251
2048,85,1, 0.70, 2.520336, 0.926628, 0.557756, 0.116181
2048,85,1, 0.80, 2.778695, 1.021001, 0.575186, 0.115358
2048,85,1, 0.90, 3.055971, 1.177650, 0.562544, 0.121482
2048,85,1, 1.00, 3.233891, 1.401965, 0.565626, 0.125265
2048,90,1, 0.50, 2.204899, 4.013793, 3.749814, 0.086049
2048,90,1, 0.60, 2.511738, 0.877612, 0.589841, 0.100598
2048,90,1, 0.70, 2.743918, 0.920967, 0.590905, 0.109941
2048,90,1, 0.80, 2.980872, 0.997367, 0.599331, 0.113480
2048,90,1, 0.90, 3.277078, 1.172578, 0.613022, 0.116215
2048,90,1, 1.00, 3.471506, 1.399674, 0.597980, 0.120101
2048,90,1, 0.50, 2.204543, 0.923181, 0.600312, 0.087232
2048,90,1, 0.60, 2.509641, 0.886259, 0.597580, 0.101155
2048,90,1, 0.70, 2.745344, 0.923947, 0.594414, 0.110412
2048,90,1, 0.80, 2.979484, 1.010949, 0.611854, 0.113003
2048,90,1, 0.90, 3.276077, 1.164774, 0.602682, 0.116752
2048,90,1, 1.00, 3.465932, 1.390532, 0.598384, 0.118950
2048,90,1, 0.50, 2.204663, 0.851587, 0.585062, 0.085928
2048,90,1, 0.60, 2.510035, 0.873224, 0.584093, 0.101458
2048,90,1, 0.70, 2.744035, 0.971411, 0.598495, 0.151548
2048,90,1, 0.80, 2.980677, 1.007301, 0.608694, 0.112943
2048,90,1, 0.90, 3.280042, 1.164717, 0.597958, 0.122747
2048,90,1, 1.00, 3.465592, 1.394565, 0.602626, 0.119104
2048,90,1, 0.50, 2.204721, 0.858297, 0.594007, 0.086119
2048,90,1, 0.60, 2.511549, 0.953107, 0.591746, 0.100608
2048,90,1, 0.70, 2.745137, 0.924846, 0.595220, 0.109884
2048,90,1, 0.80, 2.980814, 1.007162, 0.609038, 0.113511
2048,90,1, 0.90, 3.277448, 1.148333, 0.587150, 0.116558
2048,90,1, 1.00, 3.469040, 1.401024, 0.611722, 0.118987
2048,90,1, 0.50, 2.206151, 0.882456, 0.597617, 0.086154
2048,90,1, 0.60, 2.509836, 0.936085, 0.608035, 0.141761
2048,90,1, 0.70, 2.746045, 0.936763, 0.607228, 0.109763
2048,90,1, 0.80, 2.979619, 1.010908, 0.605339, 0.115229
2048,90,1, 0.90, 3.275927, 1.214713, 0.617566, 0.150906
2048,90,1, 1.00, 3.466212, 1.394685, 0.601712, 0.119041
2048,95,1, 0.50, 2.860257, 4.345394, 4.129700, 0.079312
2048,95,1, 0.60, 3.013670, 0.860777, 0.626405, 0.077138
2048,95,1, 0.70, 3.248422, 0.886120, 0.626939, 0.085618
2048,95,1, 0.80, 3.542901, 0.980964, 0.630370, 0.118079
2048,95,1, 0.90, 3.809754, 1.076231, 0.633443, 0.101322
2048,95,1, 1.00, 4.004974, 1.283479, 0.622986, 0.107745
2048,95,1, 0.50, 2.861835, 0.843944, 0.619369, 0.082603
2048,95,1, 0.60, 3.011165, 0.853659, 0.620392, 0.077399
2048,95,1, 0.70, 3.248512, 0.887001, 0.629446, 0.085609
2048,95,1, 0.80, 3.544404, 0.961932, 0.634994, 0.095353
2048,95,1, 0.90, 3.810355, 1.310726, 0.630778, 0.310772
2048,95,1, 1.00, 4.004950, 1.305664, 0.644732, 0.106546
2048,95,1, 0.50, 2.860512, 0.852674, 0.628190, 0.080446
2048,95,1, 0.60, 3.012494, 0.859768, 0.625650, 0.077051
2048,95,1, 0.70, 3.249336, 0.903685, 0.642449, 0.085932
2048,95,1, 0.80, 3.543758, 0.951012, 0.622634, 0.095880
2048,95,1, 0.90, 3.808804, 1.079166, 0.636498, 0.100550
2048,95,1, 1.00, 4.006754, 1.292206, 0.622651, 0.105906
2048,95,1, 0.50, 2.860266, 0.864296, 0.639713, 0.081807
2048,95,1, 0.60, 3.015118, 0.865544, 0.631570, 0.078516
2048,95,1, 0.70, 3.246861, 0.887108, 0.626542, 0.086578
2048,95,1, 0.80, 3.544278, 0.964730, 0.636740, 0.096447
2048,95,1, 0.90, 3.811237, 1.096205, 0.627426, 0.101698
