graphNodes,density,expNo,delta,compressionRatio,executionTime,readTime,writeTime
2048,80,1,0.5,1.91563,3.232283,2.928725,0.093666
2048,80,1,0.6,2.052527,0.926161,0.540936,0.177608
2048,80,1,0.7,2.352459,1.901788,0.525634,1.127939
2048,80,1,0.8,2.612928,0.972168,0.522444,0.116406
2048,80,1,0.9,2.889457,1.134402,0.530642,0.11673
2048,80,1,1,3.086873,1.367315,0.522536,0.118477
2048,80,1,0.5,1.915325,0.881945,0.530201,0.140067
2048,80,1,0.6,2.052164,0.848652,0.531366,0.110605
2048,80,1,0.7,2.353466,0.901691,0.531083,0.116885
2048,80,1,0.8,2.613048,0.964355,0.515749,0.115718
2048,80,1,0.9,2.889992,1.147407,0.533455,0.118448
2048,80,1,1,3.087172,1.364459,0.517031,0.119387
2048,80,1,0.5,1.915153,0.831524,0.523878,0.09632
2048,80,1,0.6,2.051566,0.860616,0.545288,0.109908
2048,80,1,0.7,2.354512,0.921927,0.551459,0.117707
2048,80,1,0.8,2.612704,0.982338,0.526207,0.116351
2048,80,1,0.9,2.889069,1.142304,0.530546,0.117982
2048,80,1,1,3.086129,1.416252,0.533394,0.149666
2048,80,1,0.5,1.915469,0.938161,0.515572,0.202995
2048,80,1,0.6,2.052461,0.848235,0.529537,0.110522
2048,80,1,0.7,2.353217,0.90353,0.536303,0.116757
2048,80,1,0.8,2.613545,0.977885,0.524699,0.117009
2048,80,1,0.9,2.889526,1.11876,0.511576,0.116924
2048,80,1,1,3.085329,1.448132,0.533112,0.124895
2048,80,1,0.5,1.915679,0.893395,0.531528,0.15193
2048,80,1,0.6,2.051455,0.845655,0.525852,0.110948
2048,80,1,0.7,2.354505,0.90135,0.531913,0.116375
2048,80,1,0.8,2.613093,0.994923,0.523532,0.135916
2048,80,1,0.9,2.88869,1.147775,0.536832,0.11772
2048,80,1,1,3.087595,1.383503,0.536442,0.119264
2048,85,1,0.5,2.095647,3.623295,3.328274,0.097031
2048,85,1,0.6,2.209104,0.867436,0.556781,0.10678
2048,85,1,0.7,2.52165,0.9277,0.567037,0.113599
2048,85,1,0.8,2.7779,1.030274,0.580161,0.116436
2048,85,1,0.9,3.056867,1.202539,0.573703,0.120244
2048,85,1,1,3.233067,1.389652,0.556765,0.120879
2048,85,1,0.5,2.095677,0.87974,0.564455,0.098363
2048,85,1,0.6,2.205911,0.872474,0.557661,0.107167
2048,85,1,0.7,2.518842,0.944096,0.572157,0.11918
2048,85,1,0.8,2.778448,1.018943,0.568527,0.116382
2048,85,1,0.9,3.054649,1.186333,0.572536,0.118758
2048,85,1,1,3.232695,1.406029,0.569427,0.122398
2048,85,1,0.5,2.096084,0.889215,0.55713,0.13572
2048,85,1,0.6,2.20861,0.882606,0.566734,0.107339
2048,85,1,0.7,2.521078,0.911131,0.551316,0.11426
2048,85,1,0.8,2.778054,1.007113,0.562065,0.114731
