graphNodes,density,expNo,delta,compressionRatio,executionTime,readTime,writeTime
32,80,1, 0.50, 1.000000, 0.057667, 0.001320, 0.000000
32,80,1, 0.50, 1.000000, 0.004965, 0.000265, 0.000000
32,80,1, 0.50, 1.000000, 0.004993, 0.000180, 0.000000
32,80,1, 0.50, 1.000000, 0.004170, 0.000165, 0.000000
32,80,1, 0.50, 1.000000, 0.005262, 0.000184, 0.000000
32,80,1, 0.60, 1.564639, 0.004513, 0.000155, 0.000211
32,80,1, 0.60, 1.564639, 0.004762, 0.000168, 0.000236
32,80,1, 0.60, 1.564639, 0.004934, 0.000182, 0.000204
32,80,1, 0.60, 1.564639, 0.004326, 0.000159, 0.000229
32,80,1, 0.60, 1.564639, 0.004762, 0.000164, 0.000245
32,80,1, 0.70, 1.564639, 0.004653, 0.000186, 0.000225
32,80,1, 0.70, 1.564639, 0.004371, 0.000160, 0.000220
32,80,1, 0.70, 1.564639, 0.004283, 0.000154, 0.000207
32,80,1, 0.70, 1.564639, 0.004287, 0.000163, 0.000201
32,80,1, 0.70, 1.564639, 0.004439, 0.000155, 0.000209
32,80,1, 0.80, 1.707469, 0.004493, 0.000164, 0.000203
32,80,1, 0.80, 1.707469, 0.004399, 0.000172, 0.000203
32,80,1, 0.80, 1.707469, 0.004314, 0.000158, 0.000207
32,80,1, 0.80, 1.707469, 0.004472, 0.000159, 0.000215
32,80,1, 0.80, 1.707469, 0.004518, 0.000167, 0.000213
32,80,1, 0.90, 1.707469, 0.004618, 0.000160, 0.000196
32,80,1, 0.90, 1.707469, 0.004881, 0.000160, 0.000198
32,80,1, 0.90, 1.707469, 0.004341, 0.000168, 0.000210
32,80,1, 0.90, 1.707469, 0.004484, 0.000188, 0.000220
32,80,1, 0.90, 1.707469, 0.004261, 0.000165, 0.000194
32,80,1, 1.00, 1.707469, 0.004344, 0.000160, 0.000201
32,80,1, 1.00, 1.707469, 0.004306, 0.000159, 0.000244
32,80,1, 1.00, 1.707469, 0.004696, 0.000161, 0.000188
32,80,1, 1.00, 1.707469, 0.004387, 0.000164, 0.000230
32,80,1, 1.00, 1.707469, 0.004320, 0.000160, 0.000192
32,85,1, 0.50, 1.664151, 0.013191, 0.008624, 0.000227
32,85,1, 0.50, 1.664151, 0.004518, 0.000255, 0.000213
32,85,1, 0.50, 1.664151, 0.004406, 0.000170, 0.000228
32,85,1, 0.50, 1.654784, 0.004748, 0.000186, 0.000212
32,85,1, 0.50, 1.654784, 0.004306, 0.000167, 0.000216
32,85,1, 0.60, 1.654784, 0.004390, 0.000172, 0.000237
32,85,1, 0.60, 1.654784, 0.004501, 0.000175, 0.000225
32,85,1, 0.60, 1.654784, 0.004366, 0.000176, 0.000224
32,85,1, 0.60, 1.654784, 0.004398, 0.000176, 0.000220
32,85,1, 0.60, 1.654784, 0.004385, 0.000173, 0.000219
32,85,1, 0.70, 1.654784, 0.004365, 0.000173, 0.000243
32,85,1, 0.70, 1.654784, 0.004295, 0.000163, 0.000217
32,85,1, 0.70, 1.654784, 0.004289, 0.000168, 0.000217
32,85,1, 0.70, 1.654784, 0.004396, 0.000172, 0.000257
32,85,1, 0.70, 1.654784, 0.004296, 0.000172, 0.000222
32,85,1, 0.80, 1.921569, 0.004406, 0.000172, 0.000269
32,85,1, 0.80, 1.921569, 0.004317, 0.000177, 0.000206
32,85,1, 0.80, 1.921569, 0.004261, 0.000170, 0.000210
32,85,1, 0.80, 1.921569, 0.004348, 0.000166, 0.000263
32,85,1, 0.80, 1.921569, 0.004262, 0.000164, 0.000206
32,85,1, 0.90, 1.921569, 0.004329, 0.000168, 0.000207
32,85,1, 0.90, 1.921569, 0.004309, 0.000171, 0.000226
32,85,1, 0.90, 1.921569, 0.004436, 0.000171, 0.000215
32,85,1, 0.90, 1.921569, 0.004341, 0.000170, 0.000203
32,85,1, 0.90, 1.921569, 0.004286, 0.000171, 0.000209
32,85,1, 1.00, 1.785425, 0.004328, 0.000175, 0.000190
32,85,1, 1.00, 1.785425, 0.004610, 0.000178, 0.000277
32,85,1, 1.00, 1.785425, 0.004304, 0.000168, 0.000195
32,85,1, 1.00, 1.785425, 0.004672, 0.000175, 0.000273
32,85,1, 1.00, 1.785425, 0.004204, 0.000167, 0.000202
32,90,1, 0.50, 1.723048, 0.005929, 0.001394, 0.000230
32,90,1, 0.50, 1.723048, 0.004419, 0.000265, 0.000233
32,90,1, 0.50, 1.723048, 0.004295, 0.000174, 0.000211
32,90,1, 0.50, 1.723048, 0.004344, 0.000182, 0.000248
32,90,1, 0.50, 1.723048, 0.004242, 0.000176, 0.000212
32,90,1, 0.60, 1.723048, 0.004412, 0.000176, 0.000296
32,90,1, 0.60, 1.723048, 0.004287, 0.000172, 0.000240
32,90,1, 0.60, 1.723048, 0.004289, 0.000180, 0.000235
32,90,1, 0.60, 1.723048, 0.004383, 0.000175, 0.000216
32,90,1, 0.60, 1.723048, 0.004246, 0.000170, 0.000215
32,90,1, 0.70, 2.155814, 0.004649, 0.000172, 0.000195
32,90,1, 0.70, 2.155814, 0.005047, 0.000174, 0.000201
32,90,1, 0.70, 2.155814, 0.004243, 0.000179, 0.000207
32,90,1, 0.70, 2.155814, 0.004290, 0.000172, 0.000215
32,90,1, 0.70, 2.155814, 0.004398, 0.000181, 0.000238
32,90,1, 0.80, 2.155814, 0.004288, 0.000168, 0.000218
32,90,1, 0.80, 2.155814, 0.004312, 0.000174, 0.000195
32,90,1, 0.80, 2.155814, 0.004394, 0.000176, 0.000228
32,90,1, 0.80, 2.155814, 0.004337, 0.000176, 0.000198
32,90,1, 0.80, 2.155814, 0.004247, 0.000172, 0.000205
32,90,1, 0.90, 2.155814, 0.004505, 0.000174, 0.000204
32,90,1, 0.90, 2.155814, 0.004387, 0.000175, 0.000228
32,90,1, 0.90, 2.155814, 0.004310, 0.000176, 0.000191
32,90,1, 0.90, 2.155814, 0.004357, 0.000177, 0.000202
32,90,1, 0.90, 2.155814, 0.004415, 0.000185, 0.000195
32,90,1, 1.00, 2.092551, 0.004387, 0.000173, 0.000200
32,90,1, 1.00, 2.092551, 0.004725, 0.000174, 0.000208
32,90,1, 1.00, 2.092551, 0.004390, 0.000175, 0.000195
32,90,1, 1.00, 2.092551, 0.004392, 0.000177, 0.000194
32,90,1, 1.00, 2.092551, 0.004429, 0.000178, 0.000212
32,95,1, 0.50, 1.808471, 0.021185, 0.016530, 0.000214
32,95,1, 0.50, 1.808471, 0.240010, 0.139475, 0.000240
32,95,1, 0.50, 1.808471, 0.004379, 0.000191, 0.000224
32,95,1, 0.50, 1.808471, 0.004498, 0.000184, 0.000303
32,95,1, 0.50, 1.808471, 0.004254, 0.000186, 0.000233
32,95,1, 0.60, 1.808471, 0.004662, 0.000180, 0.000223
32,95,1, 0.60, 1.808471, 0.004376, 0.000180, 0.000239
32,95,1, 0.60, 1.808471, 0.004689, 0.000187, 0.000237
32,95,1, 0.60, 1.808471, 0.004317, 0.000181, 0.000219
